Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-25,Ginger Snaps Back: The Beginning,2004,https://boxd.it/SChMt,2.5,,,2019-11-25
2019-11-27,One Cut of the Dead,2017,https://boxd.it/SIFbj,4.5,,,2019-11-26
2019-11-27,"The Death of ""Superman Lives"": What Happened?",2015,https://boxd.it/SJarx,4.5,,,2019-11-27
2019-11-28,Margaret,2011,https://boxd.it/SMgDF,1,,,2019-11-27
2019-12-14,Love & Mercy,2014,https://boxd.it/TNWxF,3,,,2019-12-14
2019-12-14,I ♥ Huckabees,2004,https://boxd.it/TO4nt,4,,,2019-12-14
2019-12-25,In Fabric,2018,https://boxd.it/UBVLB,2.5,,,2019-12-24
2019-12-25,The Hebrew Hammer,2003,https://boxd.it/UCIA3,4,,,2019-12-25
2019-12-26,The Bye Bye Man,2017,https://boxd.it/UHYpZ,1,,,2019-12-26
2019-12-28,Holiday Hell,2019,https://boxd.it/UTe5t,2,,,2019-12-28
2019-12-30,Doom: Annihilation,2019,https://boxd.it/V5S2N,1.5,,,2019-12-30
2019-12-31,In Search of Darkness,2019,https://boxd.it/Vbaiz,3.5,,,2019-12-30
2020-01-02,976-EVIL,1988,https://boxd.it/Vm7fz,3,,,2020-01-01
2020-01-02,Ghost Story,1981,https://boxd.it/VnHzd,3,,,2020-01-01
2020-01-02,The Howling: Reborn,2011,https://boxd.it/VoiPH,1,,,2020-01-01
2020-01-02,Children of the Corn: Runaway,2018,https://boxd.it/Vp8Th,1,,,2020-01-01
2022-11-14,Cowboy Bebop,1998,https://boxd.it/3qIX69,4.5,Yes,,2020-01-01
2020-01-03,Knives Out,2019,https://boxd.it/VwSl5,4.5,,,2020-01-02
2020-01-04,Berberian Sound Studio,2012,https://boxd.it/VDf4X,3,,,2020-01-04
2020-01-07,The Howling,1981,https://boxd.it/VVFGJ,2.5,,,2020-01-06
2020-01-07,The 'Burbs,1989,https://boxd.it/VW933,3.5,,,2020-01-06
2020-01-08,Joker,2019,https://boxd.it/W1pVl,2,,,2020-01-07
2020-01-11,The Burning,1981,https://boxd.it/WglwV,3,,,2020-01-10
2020-01-11,Machete Maidens Unleashed!,2010,https://boxd.it/WgN2z,3.5,,,2020-01-10
2020-01-19,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/X2cdV,3,,,2020-01-18
2020-02-01,Maleficent: Mistress of Evil,2019,https://boxd.it/YaTGL,2.5,,,2020-01-18
2020-02-01,Hustlers,2019,https://boxd.it/YaU1p,4.5,,,2020-01-18
2020-02-01,Booksmart,2019,https://boxd.it/YaUtN,4,,,2020-01-18
2020-02-01,Toy Story 4,2019,https://boxd.it/YaSgd,3,,,2020-01-30
2020-02-01,Once Upon a Time... in Hollywood,2019,https://boxd.it/YaV1F,3.5,,,2020-01-30
2020-02-02,Eddie and the Cruisers,1983,https://boxd.it/YfjPn,3.5,,,2020-02-01
2020-02-08,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),2020,https://boxd.it/YMnTz,4,,,2020-02-07
2020-02-10,Dope,2015,https://boxd.it/YXpWd,5,Yes,,2020-02-09
2020-02-13,Memory: The Origins of Alien,2019,https://boxd.it/ZfHnB,3,,,2020-02-12
2020-02-14,Damsel,2018,https://boxd.it/ZkhIX,3.5,Yes,,2020-02-13
2020-02-14,Desperado,1995,https://boxd.it/ZkJZx,3.5,,,2020-02-13
2020-02-17,Doctor Sleep,2019,https://boxd.it/ZCjJz,4,,,2020-02-16
2020-02-18,Once Upon a Time in Mexico,2003,https://boxd.it/ZI7gn,3,,,2020-02-17
2020-02-18,A Nightmare on Elm Street,2010,https://boxd.it/ZJNbV,2,,,2020-02-17
2020-02-18,A.M.I.,2019,https://boxd.it/ZKaQn,2.5,,,2020-02-18
2020-02-19,Would You Rather,2012,https://boxd.it/ZPn89,2.5,,,2020-02-18
2020-02-20,Silent Hill,2006,https://boxd.it/ZUNsf,3,,,2020-02-19
2020-03-10,Waiting to Exhale,1995,https://boxd.it/11qtFV,3,,,2020-03-09
2020-03-10,The Descent,2005,https://boxd.it/11qNSl,2.5,,,2020-03-10
2020-03-21,The Invisible Man,2020,https://boxd.it/12le3B,3.5,,,2020-03-20
2020-04-05,Elvira: Mistress of the Dark,1988,https://boxd.it/1431q5,3,,,2020-04-03
2020-04-09,The Prince of Egypt,1998,https://boxd.it/14Ci67,2.5,,,2020-04-08
2020-04-12,Scott Pilgrim vs. the World,2010,https://boxd.it/150Nzn,5,Yes,,2020-04-10
