Date,Name,Year,Letterboxd URI,Rating
2019-03-05,A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,https://boxd.it/1XiE,3
2019-03-05,Troll Hunter,2010,https://boxd.it/NQY,3.5
2019-03-05,Fright Night,2011,https://boxd.it/l1S,3
2019-03-05,Altered States,1980,https://boxd.it/1TBi,2
2019-03-05,Friday the 13th: The Final Chapter,1984,https://boxd.it/1XWO,3
2019-03-05,Abraham Lincoln: Vampire Hunter,2012,https://boxd.it/2oG4,2
2019-03-05,Resident Evil: Extinction,2007,https://boxd.it/20Oy,2.5
2019-03-05,Life After Beth,2014,https://boxd.it/7bqM,2
2019-03-05,John Dies at the End,2012,https://boxd.it/2BSW,4
2019-03-05,Jason X,2001,https://boxd.it/1TM6,2.5
2019-03-05,Freddy's Dead: The Final Nightmare,1991,https://boxd.it/1Uea,3
2019-03-05,Ouija,2014,https://boxd.it/77SM,0.5
2019-03-05,Psycho,1998,https://boxd.it/1Ugg,5
2019-03-05,Doom,2005,https://boxd.it/1ZOW,0.5
2019-03-05,Chopping Mall,1986,https://boxd.it/1ow2,4
2019-03-05,Underworld: Awakening,2012,https://boxd.it/yMs,0.5
2019-03-05,Curse of Chucky,2013,https://boxd.it/5b1y,2.5
2019-03-05,Buffy the Vampire Slayer,1992,https://boxd.it/1WP8,4
2019-03-05,Shadow of the Vampire,2000,https://boxd.it/1Vb2,3.5
2019-03-05,The Toxic Avenger,1984,https://boxd.it/1MAi,5
2019-03-05,Spawn,1997,https://boxd.it/1WvM,1
2019-03-05,"Silent Night, Deadly Night",1984,https://boxd.it/1rRi,2
2019-03-05,Bud Abbott and Lou Costello Meet Frankenstein,1948,https://boxd.it/25O4,3
2019-03-05,Repo! The Genetic Opera,2008,https://boxd.it/1Ogu,3
2019-03-05,Black Christmas,2006,https://boxd.it/1Y7M,1
2019-03-05,Sleepaway Camp,1983,https://boxd.it/1PSY,3.5
2019-03-05,Return to Sleepaway Camp,2008,https://boxd.it/1cdW,2
2019-03-05,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2019-03-05,Arrival,2016,https://boxd.it/aNGk,5
2019-03-05,Inception,2010,https://boxd.it/1skk,3
2019-03-05,Interstellar,2014,https://boxd.it/4VZ8,2.5
2019-03-05,Her,2013,https://boxd.it/4O24,2
2019-03-05,The Avengers,2012,https://boxd.it/1xFW,4
2019-03-05,Blade Runner,1982,https://boxd.it/2bcA,4.5
2019-03-05,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,4
2019-03-05,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2019-03-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
