Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-09-18,Speak No Evil,2024,https://boxd.it/7lOuUX,3.5,,"I think this film sort of misses some major points of the original, much to its detriment. If you ever wonder what makes a movie ""American"" the difference between these two movies is it exactly. That said, on its own merits, the film is fun, effective at suspense, well-filmed and pulls some great performances, notably even from the kids--who have larger roles in this version. James McAvoy and Mackenzie Davis are really delivering too, and if you wanted to see it just for their performances I would not blame you. 

I am fascinated by the changes, especially to Scoot McNairy's character which change the context and tenor of the movie significantly and in some odd ways. 

(Saw at a preview screening)",,2024-09-09
2024-09-18,Trap,2024,https://boxd.it/7m2eFP,3.5,,"This is a good looking film, and fun!",,2024-09-17
2024-09-25,Bad Boys for Life,2020,https://boxd.it/7oPGMv,3,,Better than it needed to be but worse than I wish it was.,,2024-09-22
2024-09-25,A Quiet Place,2018,https://boxd.it/7oPJhF,3.5,,I don't understand why people were so hyped about this weirdly Christian film. It's fine but like... just fine.,,2024-09-22
2024-10-01,G.I. Jane,1997,https://boxd.it/7rJxFF,3,,"This movie does a lot better than I thought it would, but the final action sequence is shot extremely weird at some parts, I'm not sure why they thought the camera zooming in and out like that was a good idea? I think maybe they were trying to figure out something like shaky-cam but it didn't work so well here. I can imagine the shaky-cam version working, but the oscillation in and out, over and over, at the end doesn't work for me.  ",,2024-09-30
2024-10-02,The 4:30 Movie,2024,https://boxd.it/7s9vRr,4,,"I love that in this phase of his life Kevin Smith is making sweet, nice, emotionally genuine films. I like it for him and I like watching them. He's not breaking any mold, or doing crazy innovative stuff here, it's just small, kind, and a chance for him to pull his family and friends together and have fun; and that's what it feels like. I like it!",,2024-10-01
2024-10-05,Serendipity,2001,https://boxd.it/7tApyV,2.5,,Another film in which the plot tells us John Cusack is a terrible villain but the music cues tell us this is terribly romantic.,,2024-10-05
2024-10-17,A Quiet Place: Day One,2024,https://boxd.it/7zvwdf,3.5,,"I dunno. It's better than the first one and it has a cute cat, but it doesn't feel like a movie that needed to get made.",,2024-10-16
2024-10-17,Lawnmower Man 2: Beyond Cyberspace,1996,https://boxd.it/7zyjk9,3,,"Honestly, a movie about a tech mogul who aims to use the global internet to make the real world a worse place, so that people will spend all their time in a virtual world where they will use an alternate infrastructure pushed on them to the profit of the tech mogul, while gaming up with an influencer with religious overtones, feels so ahead of its time as a plot that it's only making sense right this moment. Also, pretty good special effects and a nice job ripping off the Jurassic Park theme.",,2024-10-16
2024-10-20,House of the Dead,2003,https://boxd.it/7B7UOT,1.5,,first of all: there is no house in this film,,2024-10-20
2024-10-22,Habit,1995,https://boxd.it/7BRDRN,4.5,Yes,"It was so good to re-watch this on the big screen at Nighthawk, for the Brooklyn Horror Festival! It has all these amazing details that I missed, watching it before. The way this film moves, the tension, the genre balance, all exceptional. But it would be easy to forget subtle but great shooting choices as well: the moment at the party where the camera pushes in on his face when he's attracted to the woman across the room. The sickining angles on the ferris wheel. The moment out in the rain. The movie is fun and interesting, and it's so engaging it's easy to miss when it's also a gorgeous record of a particular era of NYC as well.",,2024-10-20
2024-10-22,Drácula,1931,https://boxd.it/7CeFQN,4,,Renfield is amazing in this!,,2024-10-21
2024-10-23,Stream,2024,https://boxd.it/7CEaeb,2.5,,"I dunno man, maybe hire out for a writer next time.",,2024-10-22
2024-10-27,The Cabinet of Dr. Caligari,1920,https://boxd.it/7Eiuht,5,,So great to see this with a live score!,,2024-10-25
2024-11-15,Bedazzled,2000,https://boxd.it/7OnuFP,4,,"This was really sweet actually, especially for a film involving the devil.",,2024-11-14
2024-11-16,Apartment 7A,2024,https://boxd.it/7OSP9n,3,,"Very pretty, some good performances, needed a rewrite on the plot side.",,2024-11-16
2024-12-09,Things Heard & Seen,2021,https://boxd.it/80EkMD,2,Yes,"Accidentally watched this movie a second time and didn't realize until the mess kicked in. It is a film that asks you not to pay full attention to it and punishes you when you do. All the more frustrating because the first act and the last scene prove this could have been a lot better, which damns the film even worse.",,2024-12-09
2024-12-16,Heretic,2024,https://boxd.it/84c4yZ,3,,"It's hard to watch this and not think

1. There's a chunk missing 
2. They're setting up a prequel",,2024-12-16
2025-01-12,Bring on the Damned!,2025,https://boxd.it/8r9aIx,4,,A ton of fun and extremely creative!,,2025-01-11
2025-01-20,Chained,2012,https://boxd.it/8xXuu5,3.5,,"It was alright, but I feel like the ending could have and should have gone a different way. Also a few strange choices throughout that I'm not really into. ",,2025-01-19
2025-02-05,Wolf Man,2025,https://boxd.it/8JORJn,2.5,,"I don't know what went wrong exactly to make this so boring, but it's some combination of bad editing, bad coloring and acting that's just too 'realistic' to keep my attention.",,2025-02-05
2025-02-05,The Dark Half,1993,https://boxd.it/8JOSYN,3.5,,Someone call this film and let it know Malignant basically took its inciting incident wholesale.,,2025-02-02
2025-02-15,Satan's Little Helper,2004,https://boxd.it/8Q6047,2,,What?,,2025-02-15
2025-03-17,Bulworth,1998,https://boxd.it/99rQFR,4,,Wild that basically we are touching on the exact same issues in 2025.,,2025-03-16
2025-04-21,The Last Winter,2006,https://boxd.it/9ts2jX,4,Yes,The bleak visuals here are so well served on a big screen. Highly recommend catching this on as large a screen as possible.,,2025-04-20
2025-05-30,Star Wars,1977,https://boxd.it/9Qz0xz,5,,The new trilogy: Andor->Rogue One->New Hope,,2025-05-29
2025-06-03,Cat's Eye,1985,https://boxd.it/9TcWDr,3.5,,Surprisingly good performance from the cat(s)!,,2025-06-02
2025-07-10,The Old Guard 2,2025,https://boxd.it/ahgWtv,2.5,,We're making movies that straight up don't finish now?,,2025-07-09
2025-07-14,Superman,2025,https://boxd.it/akgkm9,4.5,,Everything I wanted in a Superman film,,2025-07-13
