Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-10-02,Ghostland,2018,https://boxd.it/PmiiZ,0.5,,,2019-10-01
2020-05-21,Phantasm,1979,https://boxd.it/19LJa9,3,,,2020-05-20
2020-06-07,Pure,2019,https://boxd.it/1bD9Xh,2.5,,,2020-06-06
2021-02-23,Tentacles,2021,https://boxd.it/1GkD0P,2.5,,,2021-02-22
2021-11-28,Super Hot,2021,https://boxd.it/2jQpej,3,,,2021-11-27
2023-04-15,Scary Movie,2000,https://boxd.it/47Cmcf,2,Yes,,2023-04-14
